Sample.Name,Group,CA,a.MCA,b.MCA,w.MCA,DCA,UDCA,HDCA,CDCA,TUDCA,TCDCA.1,TDCA,TCA,T.b.MCA,T.a.MCA,GCDCA,GDCA,LCA,GCA.2,Part
NAFLD_Cecum_1,NC,0.054204953,0.021061879,0.113746133,0.171499711,0.422409208,0.052583452,0.026459019,0.001063703,0.000201048,0.000014939,0.000492212,0,0.000549907,0.000510164,0.000779032,0.000135241,1.93819293,0,Cecum
NAFLD_Cecum_2,NC,0.054731228,0.072689997,0.10556496,0.033833738,0.181780168,0.07310038,0.003131251,0.000134602,0.000904538,0.00012431,0.000660714,0.003165686,0.000696717,0.000600348,0.000191986,0.000261335,0.023161449,0.001217975,Cecum
NAFLD_Cecum_10,NC,0.015154051,0.150134548,0.176723879,0.035763086,0.148404858,0.072617406,0.009314415,0.002481312,0.001189481,0.000575983,0.00173004,0.000627296,0.000281873,0.000973123,0.000527033,0.000357438,0.094151949,0.001132242,Cecum
NAFLD_Cecum_181,NC,0.007026713,0.00753687,0.253250817,0.105520697,0.164448245,0.025202399,0.008193737,0.001546888,0.002061822,0.000533431,0.001211285,0.01388701,0.000384263,0.000259587,0.000662239,0.001250093,0.441264973,0.00210753,Cecum
NAFLD_Cecum_182,NC,0.021560116,0.01416615,0.361602384,0.040111524,0.119448078,0.035978507,0.004308467,0.002325311,0.000183659,0.001700972,0.000190581,0.000410866,0.000076605,0.000057164,0.000330705,0.000242622,0.135412368,0,Cecum
NAFLD_Cecum_184,NC,0.279392937,0.091671346,0.221833991,0.940431965,2.197383884,0.027132313,0.038677729,0.012540433,0.001044549,0.000328025,0.000440732,0.00097301,0.0015457,0.004413944,0.00010276,0.00063373,0.097992042,0.001491252,Cecum
NAFLD_Cecum_185,NC,0.009074273,0.12741175,0.071692615,0.092908978,0.180766125,0.034580073,0.019866294,0.003753313,0.000611291,0.022074557,0.000220668,0.011773354,0.00192277,0.000116961,0.000354503,0.000286972,0.092372563,0.000662886,Cecum
NAFLD_Cecum_187,NC,0.008382999,0.005315554,0.284629084,0.004155904,0.410239178,0.040795792,0.015169022,0.003498996,0.00017467,0.00039724,0.001170603,0.001394174,0.000213232,0.006854256,0.000645141,0.000143634,0.149538383,0.000630505,Cecum
NAFLD_Cecum_11,MCD,0.027251847,0.00777257,0.037129226,0.046424852,0.127752185,0.006816562,0.014427329,0.019017037,0.000644048,0.00018935,0.000539983,0.00170794,0.000586418,0.000971458,0.000051937,0.001058451,0.009132682,0,Cecum
NAFLD_Cecum_13,MCD,0.007773191,0.030091438,0.068412466,0.011923336,0.107212447,0.021610437,0.018182709,0.01234598,0.001186428,0.000335157,0.000610675,0.000158673,0.000694729,0.001901175,0.000196419,0.000139886,0.02784948,0,Cecum
NAFLD_Cecum_18,MCD,0.006811506,0.011586551,0.078416737,0.035058634,0.017691292,0.01203074,0.006955303,0.000350845,0.011410207,0.004127648,0.001195474,0.000974925,0.000776113,0.000228463,0.000502092,0.00083968,0.082880251,0.00140586,Cecum
NAFLD_Cecum_189,MCD,0.01770566,0.021789334,0.033024607,0.030156431,0.263858794,0.00953388,0.014500375,0.006014222,0.000341731,0.002395037,0.001022545,0.001700218,0.000282624,0.001133805,0.0001168,0.00068284,0.217384359,0,Cecum
NAFLD_Cecum_A88,MCD,0.038380434,0.009593213,0.289115586,0.038778321,0.150861495,0.006967015,0.011446211,0.001361692,0.000306454,0.000260773,0.000316557,0.007311101,0.000026682,0.000128047,0.000140119,0.000387935,0.009601397,0,Cecum
NAFLD_Cecum_A96,MCD,0.05306568,0.014328174,0.058915362,0.040916638,0.142435026,0.009264294,0.003406541,0.00006371,0.001415266,0.000587092,0.001763983,0.00321713,0.000098067,0.000808061,0.000135277,0.000328836,0.065573276,0,Cecum
NAFLD_Cecum_A98,MCD,0.006109532,0.09679197,0.058538213,0.033819498,2.437011361,0.003077456,0.009463597,0.005068472,0.000947625,0.000071662,0.000587742,0.004363745,0.000247496,0.000274296,0.000103114,0.000294349,0.080197778,0,Cecum
NAFLD_Cecum_A99,MCD,0.010010618,0.110015504,0.106974753,0.020081701,0.101272021,0.000981123,0.009448326,0.002402798,0.000419304,0.000566194,0.003949467,0.021505394,0.000723924,0.001007704,0.000222501,0.000750636,0.035703034,0,Cecum
NAFLD_Cecum_21,3_5,0.022761133,0.128756362,0.070864192,0.146894825,0.631292098,0.011570693,0.030857611,0.000910204,0.001788929,0.007246551,0.001187585,0.008825196,0.000817089,0.000226237,0.000377377,0.000385085,0.559923544,0.000848115,Cecum
NAFLD_Cecum_49,3_5,0.024407654,0.310011764,0.017963653,0.359238888,0.188316806,0.031249795,0.017951182,0.000778355,0.000392778,0.003383901,0.001458266,0.004258766,0.000083516,0.000601604,0.000922213,0.000241014,0.438522518,0,Cecum
NAFLD_Cecum_22,3_5,0.010481277,0.207284239,0.448793723,0.031874863,0.415672699,0.162932102,0.042882639,0.012250872,0.000416828,0.003213264,0.001729294,0.000728893,0.000929275,0.000153747,0.00035618,0.000592618,0.063220659,0,Cecum
NAFLD_Cecum_23,3_5,0.021209933,0.101851097,0.195412347,0.529356059,0.174916155,0.01074805,0.041836195,0.028170305,0.001152756,0.002758968,0.001293585,0.018195627,0.000766457,0.00053582,0.000159059,0.000175777,0.331049313,0,Cecum
NAFLD_Cecum_50,3_5,0.016515448,0.071205162,0.020852431,0.003730888,0.120026535,0.004559046,0.04280396,0.005137341,0.000243711,0.001234646,0.003813832,0.003002061,0.000380371,0.000754848,0.000469743,0.000221716,0.013635344,0.002661184,Cecum
NAFLD_Cecum_24,3_5,0.007780318,0.219570294,1.31330864,0.379181171,1.07141784,0.021637404,0.038925875,0.009384733,0.000446231,0.000122796,0.007445699,0.009956116,0.000668858,0.000221815,0.000201005,0.000417688,0.089727394,0.000638562,Cecum
NAFLD_Cecum_194,3_5,0.114279547,0.020505619,0.197674741,0.137206823,1.747266327,0.012163007,0.009558922,0.054837456,0.000361037,0.000293697,0.00061438,0.016027651,0.000641091,0.00097176,0.000217141,0.000429229,0.022723384,0,Cecum
NAFLD_Cecum_48,3_5,0.010600115,0.033564951,0.021906757,0.105379382,0.034240167,0.03298928,0.002622152,0.00219967,0.001126664,0.000550272,0.006139812,0.004346725,0.000096983,0.001033931,0.000205884,0.000756443,0.094773045,0.000442443,Cecum
NAFLD_Feces_1,NC,0.024963787,6.752076796,1.279919236,4.123454658,2.900037647,0.015079552,0.174493037,0.497599546,0.05360789,0.027784223,0.010337126,0.084789958,0.054059057,0.010505537,0.000999876,0.001000501,0.524660067,0.004761581,Feces
NAFLD_Feces_2,NC,0.277192839,0.283131787,0.366354909,0.651118513,3.354568957,0.028556244,0.123064212,0.018972919,0.004869145,0.007418231,0.019756187,0.028780854,0.168309944,0.10265946,0.000261828,0.000280449,0.149445729,0.000323914,Feces
NAFLD_Feces_10,NC,0.111230261,5.534302037,1.143723733,2.638312091,2.969887077,0.231490366,0.517919351,0.927479778,0,0.00463633,0.037129549,0.030532616,0.015316453,0.303147583,0.000440612,0.000424048,0.108288279,0.002886503,Feces
NAFLD_Feces_181,NC,0.157181908,2.315047625,2.172546492,1.827130989,1.169862068,0.007182776,0.223888915,0.048872748,0,0.050731863,0.000926215,0.062419899,0.001584203,1.735297353,0.00058365,0.00066104,0.045408257,0.00335024,Feces
NAFLD_Feces_182,NC,0.358013666,0.193783523,0.209479274,0.125411551,3.579585369,0.040042873,0.141859935,0.115493703,0.021696971,0.031397472,0.026884984,0.134870961,0.186052414,0.31540499,0.001029024,0,0.535307399,0.000786278,Feces
NAFLD_Feces_184,NC,0.041425866,2.946365504,4.095221138,7.586932814,0.893513102,0.101965856,0.164774938,0.01553957,0.026830734,0.002291956,0.003458874,0.081553472,0.001525226,0.035164189,0.000049978,0.000212447,2.215790243,0.001964762,Feces
NAFLD_Feces_185,NC,0.06056082,0.369389269,2.088659689,0.446717855,3.090833751,0.006596531,0.351003494,0.178293637,0.008718068,0.006215367,0.013444951,0.120699625,0.001759832,0.088242025,0.00153132,0.001363019,0.542265795,0.023782623,Feces
NAFLD_Feces_187,NC,0.175129474,1.062366267,1.444773617,4.280203118,0.752346379,0.021092599,0.046023592,0.042057126,0.052655275,0.003504345,0.004408722,0.080070247,0.002839611,0.099435221,0.000903719,0,1.263136045,0.002478942,Feces
NAFLD_Feces_11,MCD,0.209465138,1.245394318,3.340016812,0.330797458,10.15466441,0.096670411,0.091730348,0.152993467,0.001679141,0.010686275,0.011367764,0.013627948,0.282867574,0.022309418,0.000043717,0.000442827,0.880854113,0.001042357,Feces
NAFLD_Feces_13,MCD,0.060379926,0.588518524,4.043867653,1.829584073,1.073522902,0.143424083,0.24250869,0.018559413,0.058478897,0.00589399,0.003833684,0.001549445,0.01184967,0.043143839,0,0.001624563,1.604786974,0.003934231,Feces
NAFLD_Feces_18,MCD,0.23684062,0.48100077,19.60445243,2.3891336,1.058377448,0.220531439,0.489784652,0.229249185,0.011315535,0.006075876,0.013553274,0.001635017,0.01367998,0.154571433,0.00514915,0.000523584,0.811345438,0.007501615,Feces
NAFLD_Feces_189,MCD,0.022589025,1.198927163,5.360243691,0.131073274,5.552343337,0.075635872,0.152128008,0.027851885,0.122836651,0,0.003474104,0.013835136,0.008979378,0.182434567,0.000721615,0,8.892188504,0.001234418,Feces
NAFLD_Feces_A88,MCD,0.168491199,0.884262196,2.851131133,1.557641978,20.10132374,0.10635589,0.049147236,0.045800239,0,0.003075637,0.01223488,0.009508427,0.010254287,0.025751767,0.000160502,0,4.211857346,0.000930486,Feces
NAFLD_Feces_A96,MCD,0.065615181,0.499199711,2.874729865,0.566070192,0.693564204,0.032293302,0.12035334,0.262865294,0.002148557,0.005538518,0.038124563,0.03923346,0.022312827,0.074887553,0.000183473,0.00098665,0.057371945,0.005434626,Feces
NAFLD_Feces_A98,MCD,0.260422135,1.178940842,23.34677101,1.80304935,1.178663012,0.134084491,1.163410912,0.014909053,0,0.005479326,0.001303818,0.030766366,0.012519572,0.03549954,0.000492673,0.001335865,1.348564274,0.000955091,Feces
NAFLD_Feces_A99,MCD,0.97468573,1.211122494,4.975795324,0.475967195,3.705694351,0.080405035,0.285699836,0.009972086,0.003445965,0.021867698,0.020965887,0.04276449,0.00260466,0.103554535,0.000471484,0.000367819,0.698664703,0.004190461,Feces
NAFLD_Feces_21,3_5,0.158860001,3.884673096,5.097668941,0.778382002,3.09701589,0.27186602,0.179349911,0.059455944,0.012201214,0,0.022302265,0.033686893,0.307068171,1.315149522,0.001753228,0,1.03471955,0.003497792,Feces
NAFLD_Feces_49,3_5,0.064390771,2.570848073,0.433774309,6.215407891,2.114842606,0.034900511,0.113334096,0.17348335,0.019437702,0,0.043389835,0.131807875,0.023793717,0.003505831,0.000715087,0.000496183,0.837200714,0.002967703,Feces
NAFLD_Feces_22,3_5,0.54725625,6.515117256,14.01333465,2.348545484,0.939102495,0.195091039,0.247493007,1.261739935,0.007919619,0.009702668,0.004051391,0.052700144,0.167799791,0.310255273,0.000040907,0.002646302,0.423601544,0.002021137,Feces
NAFLD_Feces_23,3_5,0.101541325,4.335505716,2.638687394,0.846285307,10.70622501,0.126768614,0.336901367,0.366176875,0.047761258,0.012980254,0.028692311,0.022497795,0.026596424,0.046600578,0.000090613,0.007072798,0.154437984,0.000964107,Feces
NAFLD_Feces_50,3_5,0.039994366,0.08796411,8.399919019,4.899962693,25.17630963,0.078440794,0.170295518,0.236332116,0.004589822,0.064821691,0.002369899,0.006705935,0.024309691,0.026975983,0.001011012,0.005524601,0.083273551,0.002188007,Feces
NAFLD_Feces_24,3_5,0.944607599,1.300966543,8.871287463,0.31549669,25.17630963,0.15010138,0.345103129,1.513848463,0.004026391,0.002962956,0.219841834,0.002769752,0.015567921,0.326861299,0.000053666,0.00215222,1.533452325,0.000991082,Feces
NAFLD_Feces_194,3_5,0.58694092,2.4198192,2.239936745,2.546471193,0.288910264,0.222541254,0.492223808,1.836042764,0.012708777,0.071377277,0.041536285,0.125846532,0.133567116,0.134026982,0.000441778,0,9.229816066,0.002714901,Feces
NAFLD_Feces_48,3_5,0.070892616,4.618392789,5.866537858,5.322783107,4.420608254,0.026683755,0.420240629,0.160366152,0.006291966,0.025909117,0.082518592,0.005383446,0.008239583,0.09831353,0.000270293,0.001685615,2.134807766,0.001537691,Feces
NAFLD_ILEUM_1,NC,0.392961026,0.142003166,0.064047775,0.077627753,0,0.027414036,0.056004581,0,0.003913474,0.028803656,0.015780636,0.959038107,0.759023297,0.075691726,0.01692534,0.011692715,0.022867066,0.006230675,ILEUM
NAFLD_ILEUM_2,NC,1.03129739,0.016524962,0.223270029,0.007487104,0.026141773,0.012298149,0.0060855,0,0.033240243,0.01113949,0.074043639,0.357128744,0.740453387,0.004754519,0.003436726,0.007249808,0.054392585,0.085771243,ILEUM
