Sample_ID,Group,Part,Treatment_detail,Animal_ID,Replicate_Set,Batch,Notes
NAFLD_Cecum_1,NC,Cecum,NC,1,,,
NAFLD_Cecum_2,NC,Cecum,NC,2,,,
NAFLD_Cecum_10,NC,Cecum,NC,10,,,
NAFLD_Cecum_181,NC,Cecum,NC,181,,,
NAFLD_Cecum_182,NC,Cecum,NC,182,,,
NAFLD_Cecum_184,NC,Cecum,NC,184,,,
NAFLD_Cecum_185,NC,Cecum,NC,185,,,
NAFLD_Cecum_187,NC,Cecum,NC,187,,,
NAFLD_Cecum_11,MCD,Cecum,MCD,11,,,
NAFLD_Cecum_13,MCD,Cecum,MCD,13,,,
NAFLD_Cecum_18,MCD,Cecum,MCD,18,,,
NAFLD_Cecum_189,MCD,Cecum,MCD,189,,,
NAFLD_Cecum_A88,MCD,Cecum,MCD,A88,,,
NAFLD_Cecum_A96,MCD,Cecum,MCD,A96,,,
NAFLD_Cecum_A98,MCD,Cecum,MCD,A98,,,
NAFLD_Cecum_A99,MCD,Cecum,MCD,A99,,,
NAFLD_Cecum_21,3_5,Cecum,3_5,21,,,
NAFLD_Cecum_49,3_5,Cecum,3_5,49,,,
NAFLD_Cecum_22,3_5,Cecum,3_5,22,,,
NAFLD_Cecum_23,3_5,Cecum,3_5,23,,,
NAFLD_Cecum_50,3_5,Cecum,3_5,50,,,
NAFLD_Cecum_24,3_5,Cecum,3_5,24,,,
NAFLD_Cecum_194,3_5,Cecum,3_5,194,,,
NAFLD_Cecum_48,3_5,Cecum,3_5,48,,,
NAFLD_Feces_1,NC,Feces,NC,1,,,
NAFLD_Feces_2,NC,Feces,NC,2,,,
NAFLD_Feces_10,NC,Feces,NC,10,,,
NAFLD_Feces_181,NC,Feces,NC,181,,,
NAFLD_Feces_182,NC,Feces,NC,182,,,
NAFLD_Feces_184,NC,Feces,NC,184,,,
NAFLD_Feces_185,NC,Feces,NC,185,,,
NAFLD_Feces_187,NC,Feces,NC,187,,,
NAFLD_Feces_11,MCD,Feces,MCD,11,,,
NAFLD_Feces_13,MCD,Feces,MCD,13,,,
NAFLD_Feces_18,MCD,Feces,MCD,18,,,
NAFLD_Feces_189,MCD,Feces,MCD,189,,,
NAFLD_Feces_A88,MCD,Feces,MCD,A88,,,
NAFLD_Feces_A96,MCD,Feces,MCD,A96,,,
NAFLD_Feces_A98,MCD,Feces,MCD,A98,,,
NAFLD_Feces_A99,MCD,Feces,MCD,A99,,,
NAFLD_Feces_21,3_5,Feces,3_5,21,,,
NAFLD_Feces_49,3_5,Feces,3_5,49,,,
NAFLD_Feces_22,3_5,Feces,3_5,22,,,
NAFLD_Feces_23,3_5,Feces,3_5,23,,,
NAFLD_Feces_50,3_5,Feces,3_5,50,,,
NAFLD_Feces_24,3_5,Feces,3_5,24,,,
NAFLD_Feces_194,3_5,Feces,3_5,194,,,
NAFLD_Feces_48,3_5,Feces,3_5,48,,,
NAFLD_ILEUM_1,NC,Ileum,NC,1,,,
NAFLD_ILEUM_2,NC,Ileum,NC,2,,,
NAFLD_ILEUM_10,NC,Ileum,NC,10,,,
NAFLD_ILEUM_181,NC,Ileum,NC,181,,,
NAFLD_ILEUM_182,NC,Ileum,NC,182,,,
NAFLD_ILEUM_184,NC,Ileum,NC,184,,,
NAFLD_ILEUM_185,NC,Ileum,NC,185,,,
NAFLD_ILEUM_187,NC,Ileum,NC,187,,,
